Fecha;TIPO CAMBIO COMPRA;TIPO DE CAMBIO VENTA;
7 jul 2015;528,44;540,71;
8 jul 2015;528,34;540,61;
9 jul 2015;528,28;540,63;
10 jul 2015;528,27;540,65;
11 jul 2015;528,25;540,62;
12 jul 2015;528,25;540,62;
13 jul 2015;528,25;540,62;
14 jul 2015;528,34;540,68;
15 jul 2015;528,30;540,69;
16 jul 2015;528,30;540,69;
17 jul 2015;528,32;540,74;
18 jul 2015;528,31;540,73;
19 jul 2015;528,31;540,73;
20 jul 2015;528,31;540,73;
21 jul 2015;528,36;540,72;
22 jul 2015;528,30;540,71;
23 jul 2015;528,25;540,67;
24 jul 2015;528,31;540,70;
25 jul 2015;528,29;540,71;
26 jul 2015;528,29;540,71;
27 jul 2015;528,29;540,71;
28 jul 2015;528,39;540,72;
29 jul 2015;528,36;540,79;
30 jul 2015;528,41;540,80;
31 jul 2015;528,43;540,80;
1 ago 2015;528,42;540,79;
2 ago 2015;528,42;540,79;
3 ago 2015;528,42;540,79;
4 ago 2015;528,44;540,75;
5 ago 2015;528,30;540,73;
6 ago 2015;528,28;540,71;
7 ago 2015;528,27;540,78;
8 ago 2015;528,31;540,81;
9 ago 2015;528,31;540,81;
10 ago 2015;528,31;540,81;
11 ago 2015;528,44;540,84;
12 ago 2015;528,39;540,85;
13 ago 2015;528,39;540,88;
14 ago 2015;528,35;540,85;
15 ago 2015;527,75;540,31;
16 ago 2015;527,75;540,31;
17 ago 2015;527,75;540,31;
18 ago 2015;527,53;539,97;
19 ago 2015;527,36;539,87;
20 ago 2015;527,35;539,82;
21 ago 2015;527,34;539,79;
22 ago 2015;527,32;539,76;
23 ago 2015;527,32;539,76;
24 ago 2015;527,32;539,76;
25 ago 2015;527,38;539,75;
26 ago 2015;527,35;539,79;
27 ago 2015;527,43;539,83;
28 ago 2015;527,44;539,87;
29 ago 2015;529,05;541,46;
30 ago 2015;529,05;541,46;
31 ago 2015;529,05;541,46;
1 set 2015;529,18;541,50;
2 set 2015;529,35;541,74;
3 set 2015;529,48;541,91;
